column_names,unique,min,mean,max,data_type,default_agg
age,0,18.0,36.923809523809524,60.0,numeric,average
attrition,2,0.0,0.0,0.0,object,by
business_travel,3,0.0,0.0,0.0,object,by
daily_rate,0,102.0,802.4857142857143,1499.0,numeric,average
department,3,0.0,0.0,0.0,object,by
distance_from_home,0,1.0,9.19251700680272,29.0,numeric,average
education,0,1.0,2.912925170068027,5.0,numeric,average
education_field,6,0.0,0.0,0.0,object,by
employee_id,0,1.0,1024.865306122449,2068.0,numeric,average
environment_satisfaction,0,1.0,2.721768707482993,4.0,numeric,average
gender,2,0.0,0.0,0.0,object,by
hourly_rate,0,30.0,65.89115646258503,100.0,numeric,average
job_involvement,0,1.0,2.7299319727891156,4.0,numeric,average
job_level,0,1.0,2.0639455782312925,5.0,numeric,average
job_role,9,0.0,0.0,0.0,object,by
job_satisfaction,0,1.0,2.7285714285714286,4.0,numeric,average
marital_status,3,0.0,0.0,0.0,object,by
monthly_income,0,1009.0,6502.931292517007,19999.0,numeric,average
monthly_rate,0,2094.0,14313.103401360544,26999.0,numeric,average
number_of_companies_worked,0,0.0,2.6931972789115646,9.0,numeric,average
over_time,2,0.0,0.0,0.0,object,by
percent_salary_hike,0,11.0,15.209523809523809,25.0,numeric,average
performance_rating,0,3.0,3.1537414965986397,4.0,numeric,average
relationship_satisfaction,0,1.0,2.7122448979591836,4.0,numeric,average
stock_option_level,0,0.0,0.7938775510204081,3.0,numeric,average
total_working_years,0,0.0,11.279591836734694,40.0,numeric,average
training_times_last_year,0,0.0,2.7993197278911564,6.0,numeric,average
work_life_balance,0,1.0,2.7612244897959184,4.0,numeric,average
years_at_company,0,0.0,7.0081632653061225,40.0,numeric,average
years_in_currentrole,0,0.0,4.229251700680272,18.0,numeric,average
years_since_last_promotion,0,0.0,2.1877551020408164,15.0,numeric,average
years_with_current_manager,0,0.0,4.12312925170068,17.0,numeric,average
