column_names,unique,min,mean,max,data_type,default_agg
customerid,0,1.0,3522.5621444823664,7043.0,numeric,average
gender,2,0.0,0.0,0.0,object,by
seniorcitizen,2,0.0,0.0,0.0,object,by
partner,2,0.0,0.0,0.0,object,by
dependents,2,0.0,0.0,0.0,object,by
tenure,0,1.0,32.421786120591584,72.0,numeric,average
phoneservice,2,0.0,0.0,0.0,object,by
multiplelines,3,0.0,0.0,0.0,object,by
internetservice,3,0.0,0.0,0.0,object,by
onlinesecurity,3,0.0,0.0,0.0,object,by
onlinebackup,3,0.0,0.0,0.0,object,by
deviceprotection,3,0.0,0.0,0.0,object,by
techsupport,3,0.0,0.0,0.0,object,by
streamingtv,3,0.0,0.0,0.0,object,by
streamingmovies,3,0.0,0.0,0.0,object,by
contract_type,3,0.0,0.0,0.0,object,by
paperlessbilling,2,0.0,0.0,0.0,object,by
paymentmethod,4,0.0,0.0,0.0,object,by
monthlycharges,0,18.25,64.79820819112628,118.75,numeric,average
totalcharges,0,18.8,2283.300440841866,8684.8,numeric,average
churn_score,0,0.0,0.27272468714448234,1.0,numeric,average
churn,2,0.0,0.0,0.0,object,by
churn_segment,3,0.0,0.0,0.0,object,by
