column_names,unique,min,mean,max,data_type,default_agg
customer_name,8539,0,0,0,object,by
customer_code,6762,0,0,0,object,by
service_code,46,0,0,0,object,by
group_name,2260,0,0,0,object,by
site_name,43312,0,0,0,object,by
device_name,85381,0,0,0,object,by
incidents,0,1,1.081481605,2743,numeric,average
external_ticket_number,547679,0,0,0,object,by
external_system_vendor_name,19431,0,0,0,object,by
bell_severity,5,0,0,0,object,by
customer_severity,5,0,0,0,object,by
status,1,0,0,0,object,by
resolution,290,0,0,0,object,by
bell_accountable,2,0,0,0,object,by
billable_incident,2,0,0,0,object,by
floor,52261,0,0,0,object,by
city,5230,0,0,0,object,by
province,63,0,0,0,object,by
short_description,175653,0,0,0,object,by
discovery_source,42,0,0,0,object,by
tpending_vendor_resolution,1,0,0,0,object,by
tbsi,1,0,0,0,object,by
inexcusable_down_time,0,-21585.15,23.10735748,870046.4667,numeric,average
excusable_down_time,0,-20763.11667,72.8980478,21701.31667,numeric,average
ttnotify,0,0,165.7725343,10240090,numeric,average
ttrespond,0,0,433.5413406,52190807,numeric,average
ttdispatch,0,0,882.7253142,27883,numeric,average
ttrestore,0,0,1345.86438,52195076,numeric,average
tbf,0,0,54685.76856,2107580,numeric,average
taos,0,0,1031.5154,47361,numeric,average
total_of_affected_voice_services,0,0,2741.588755,92529,numeric,average
total_of_affected_messaging_services,0,0,854.8549729,17084,numeric,average
total_of_affected_contact_center_services,0,0,0.696909505,5000,numeric,average
justifiable_miss,1,0,0,0,object,by
incident_classification_en,4,0,0,0,object,by
sla_justification,566,0,0,0,object,by
incident_classification_fr,4,0,0,0,object,by
bell_native_severity,4,0,0,0,object,by
bell_finalseverity_changedate,281,0,0,0,object,by
bell_severity_change_log,293,0,0,0,object,by
root_cause,0,0,0.027847849,1,numeric,average
caused_by,3475,0,0,0,object,by
applied_sla,421,0,0,0,object,by
incident_date,7,0,0,0,date,by
month_name,7,0,0,0,object,by
mttr,0,0,1242.483229,10240090,numeric,average
availability,0,-1168.244534,0.969329288,1,numeric,average
